seed,layer1_role,layer2_role,package_topology,compute_bonding,memory_ring_mount,hbm_ring_coverage,hbf_outer_ring_coverage,base_die_xbar_bw_gbs,tsv_uplink_bw_gbs,tsv_protocol_overhead,tsv_lane_util_limit,periphery_to_center_hops,base_die_hop_latency_ns,microbump_latency_ns,hbm_stack_height_mm,compute_die_thickness_mm,periphery_ring_clearance_mm,model_size_gb,num_layers,hidden_dim,num_experts,top_k,batch_size,context_len,kv_chunk_size_kb,shared_kv_ratio,weight_hbf_fraction,moe_layer_ratio,routing_diversity,prefetch_accuracy,hbm_capacity_gb,hbf_capacity_gb,sram_capacity_mb,hbm_bw_gbs,hbf_bw_gbs,bridge_bw_gbs,hbf_latency_us,compute_tops_int8,matrix_efficiency,freq_ghz,p_compute_w,p_hbm_w,p_hbf_w,p_sram_w,p_bridge_w,random_seed,multi_tenant_users,traffic_burst_factor,burst_probability,tail_jitter_sigma,lhb_enable,lhb_size_mb,prefetch_depth,thermal_model_enable,ambient_temp_c,thermal_hotspot_gain,thermal_rc_tau_layers,thermal_throttle_start_c,thermal_throttle_max,thermal_shutdown_c,process_slowdown_sigma,tokens_per_sec,latency_ms_per_token,latency_p50_ms,latency_p90_ms,latency_p99_ms,latency_p999_ms,latency_max_ms,tail_ratio_p99_p50,stall_cycles_ratio,mem_bottleneck_pct,sram_hit_ratio,lhb_hit_ratio,overlap_efficiency,prefetch_coverage_ratio,hbm_util,hbf_util,bridge_util,tsv_util,base_die_util,bridge_contention_ms_total,tsv_contention_ms_total,base_route_contention_ms_total,hbf_miss_penalty_ms_total,burst_event_count,burst_event_ratio,throughput_per_watt,power_w,total_hbm_gb_transferred,total_hbf_gb_transferred,shared_kv_reuse_ratio,batch_gain,bottleneck_compute_pct,bottleneck_hbm_pct,bottleneck_hbf_pct,bottleneck_bridge_pct,bottleneck_tsv_pct,bottleneck_router_pct,thermal_peak_c,thermal_avg_c,throttling_ratio,process_factor,model_predicted_token_ms,model_measured_token_ms,model_error_pct,oom_hbm,oom_hbf,runtime_kv_gb,shared_kv_gb
11,compute_top,memory_bottom,active_base_3p5d,hybrid_3d_tsv,periphery_2p5d_microbump,1.0,1.0,6000.0,2800.0,0.08,0.9,5,2.2,8.0,0.72,0.12,2.0,180.0,80,8192,64,4,128,4096,128,0.65,1.0,0.5,0.35,0.9,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,2200.0,0.72,1.5,420.0,120.0,45.0,55.0,35.0,11,64,1.0,0.08,0.08,1,64.0,1,1,35.0,1.0,180.0,88.0,0.25,125.0,0.03,3.305650121582002,302.512354066505,302.59215936580574,306.20405519228837,308.38946397437314,308.8991594193046,308.96946970490217,1.0191588064301396,0.9797197416475046,97.97197416475046,0.5427864583331955,0.7139999999999478,0.020486087876486734,0.8325000000003276,0.0014264998029851514,0.19493866407097205,0.1929038505321212,0.39683077823731827,0.15432308042569695,3648.070633196926,4588.192682007979,3327.040417475598,127.64440768884741,1664,0.08125,0.05960153646966885,55.46249840831274,707.0249999998055,72464.0000000279,0.5598705501618123,2.2720588235294117,0.0,0.0,0.0,26.247400346365744,73.75259965363426,0.0,110.77639999999872,110.11409650390533,1.0,0.9632778197285811,224.77749098214295,302.512354066505,25.696425960598173,0,0,16.0,8.32
23,compute_top,memory_bottom,active_base_3p5d,hybrid_3d_tsv,periphery_2p5d_microbump,1.0,1.0,6000.0,2800.0,0.08,0.9,5,2.2,8.0,0.72,0.12,2.0,180.0,80,8192,64,4,128,4096,128,0.65,1.0,0.5,0.35,0.9,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,2200.0,0.72,1.5,420.0,120.0,45.0,55.0,35.0,23,64,1.0,0.08,0.08,1,64.0,1,1,35.0,1.0,180.0,88.0,0.25,125.0,0.03,3.3097754184536843,302.13530332737696,302.067536607168,305.3298583010891,308.3371132978675,309.9666383249988,310.38029768259327,1.020755546130907,0.9775480644757594,97.75480644757593,0.5427864583331955,0.7139999999999478,0.022680504423403643,0.8325000000003276,0.001428280008075911,0.19518193841383474,0.19314458552277858,0.3973260045038132,0.15451566841822287,3624.839463619004,4544.8951395396025,3305.8535908205254,127.48524796915703,1685,0.082275390625,0.05964154916997668,55.49445754705198,707.0249999998055,72464.0000000279,0.5598705501618123,2.2720588235294117,0.0,0.0,0.0,26.247400166290046,73.75259983370997,0.0,110.77639999999872,110.11409650390533,1.0,1.065099601622142,224.77749098214295,302.13530332737645,25.603698572560724,0,0,16.0,8.32
37,compute_top,memory_bottom,active_base_3p5d,hybrid_3d_tsv,periphery_2p5d_microbump,1.0,1.0,6000.0,2800.0,0.08,0.9,5,2.2,8.0,0.72,0.12,2.0,180.0,80,8192,64,4,128,4096,128,0.65,1.0,0.5,0.35,0.9,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,2200.0,0.72,1.5,420.0,120.0,45.0,55.0,35.0,37,64,1.0,0.08,0.08,1,64.0,1,1,35.0,1.0,180.0,88.0,0.25,125.0,0.03,3.3046006949266205,302.6084215061891,302.7217053375544,305.7481061136766,308.40603146891436,308.9791840938809,309.009919324899,1.0187773986177224,0.9790679793955027,97.90679793955027,0.5427864583331955,0.7139999999999478,0.021143531053498886,0.8325000000003276,0.0014260469398985906,0.19487677796000555,0.19284261040227427,0.3967047985416332,0.1542740883218194,3653.6691874673925,4596.371615018179,3332.146298970254,127.68495943741745,1614,0.07880859375,0.05959135035426186,55.45436838200935,707.0249999998055,72464.0000000279,0.5598705501618123,2.2720588235294117,0.0,0.0,0.0,26.24740039217598,73.75259960782404,0.0,110.77639999999872,110.11409650390533,1.0,0.9945511542004077,224.77749098214295,302.6084215061879,25.72001470965454,0,0,16.0,8.32
11,compute_top,memory_bottom,active_base_3p5d,hybrid_3d_tsv,periphery_2p5d_microbump,1.0,1.0,6000.0,3600.0,0.08,0.9,5,2.2,8.0,0.72,0.12,2.0,180.0,80,8192,64,4,128,4096,128,0.65,1.0,0.5,0.35,0.9,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,2200.0,0.72,1.5,420.0,120.0,45.0,55.0,35.0,11,64,1.0,0.08,0.08,1,64.0,1,1,35.0,1.0,180.0,88.0,0.25,125.0,0.03,3.7161858884966055,269.09310513650144,269.16409061030356,272.37681130441274,274.32069572317516,274.7740612636811,274.8366010822141,1.0191578494039806,0.9772010929370456,97.72010929370455,0.5427864583331955,0.7139999999999478,0.023036161088035193,0.8325000000003276,0.0016036598680502867,0.21914851417978654,0.21686099279044468,0.34697758846454696,0.17348879423235575,3648.070633196926,3568.5943082284302,3327.040417475598,127.64440768884741,1664,0.08125,0.06735492251674433,55.17318927317847,707.0249999998055,72464.0000000279,0.5598705501618123,2.2720588235294117,0.0,0.0,0.0,29.514632150363834,70.48536784963618,0.0,110.77639999999872,110.11409650390533,1.0,0.9632778197285811,198.15159812500008,269.09310513650246,26.363182726482712,0,0,16.0,8.32
23,compute_top,memory_bottom,active_base_3p5d,hybrid_3d_tsv,periphery_2p5d_microbump,1.0,1.0,6000.0,3600.0,0.08,0.9,5,2.2,8.0,0.72,0.12,2.0,180.0,80,8192,64,4,128,4096,128,0.65,1.0,0.5,0.35,0.9,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,2200.0,0.72,1.5,420.0,120.0,45.0,55.0,35.0,23,64,1.0,0.08,0.08,1,64.0,1,1,35.0,1.0,180.0,88.0,0.25,125.0,0.03,3.720823282809862,268.75772483471127,268.6974474748847,271.5992278474123,274.27413067538845,275.7235658273796,276.09150888064033,1.0207545075433773,0.9747597121010162,97.47597121010162,0.5427864583331955,0.7139999999999478,0.025503734833819004,0.8325000000003276,0.00160566106050288,0.21942198760224418,0.21713161163592457,0.34741057861731456,0.17370528930873963,3624.839463619004,3534.9184418640893,3305.8535908205254,127.48524796915703,1685,0.082275390625,0.06740037534383385,55.20478578685338,707.0249999998055,72464.0000000279,0.5598705501618123,2.2720588235294117,0.0,0.0,0.0,29.51463192266669,70.4853680773333,0.0,110.77639999999872,110.11409650390533,1.0,1.065099601622142,198.15159812500008,268.7577248347103,26.271292017051405,0,0,16.0,8.32
37,compute_top,memory_bottom,active_base_3p5d,hybrid_3d_tsv,periphery_2p5d_microbump,1.0,1.0,6000.0,3600.0,0.08,0.9,5,2.2,8.0,0.72,0.12,2.0,180.0,80,8192,64,4,128,4096,128,0.65,1.0,0.5,0.35,0.9,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,2200.0,0.72,1.5,420.0,120.0,45.0,55.0,35.0,37,64,1.0,0.08,0.08,1,64.0,1,1,35.0,1.0,180.0,88.0,0.25,125.0,0.03,3.7150061902261924,269.17855551113195,269.27931957710376,271.97125225434957,274.33543223140214,274.8452418681065,274.87258034005407,1.018776461045129,0.9764683865620992,97.64683865620992,0.5427864583331955,0.7139999999999478,0.02377544167492371,0.8325000000003276,0.0016031507883569039,0.21907894577527215,0.21679215055655462,0.34686744089032284,0.1734337204452437,3653.6691874673925,3574.9557005697006,3332.146298970254,127.68495943741745,1614,0.07880859375,0.0673433515476874,55.16515149376713,707.0249999998055,72464.0000000279,0.5598705501618123,2.2720588235294117,0.0,0.0,0.0,29.51463220828921,70.4853677917108,0.0,110.77639999999872,110.11409650390533,1.0,0.9945511542004077,198.15159812500008,269.17855551113297,26.386558636241467,0,0,16.0,8.32
11,compute_top,memory_bottom,active_base_3p5d,hybrid_3d_tsv,periphery_2p5d_microbump,1.0,1.0,6000.0,4200.0,0.08,0.9,5,2.2,8.0,0.72,0.12,2.0,180.0,80,8192,64,4,128,4096,128,0.65,1.0,0.5,0.35,0.9,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,2200.0,0.72,1.5,420.0,120.0,45.0,55.0,35.0,11,64,1.0,0.08,0.08,1,64.0,1,1,35.0,1.0,180.0,88.0,0.25,125.0,0.03,3.962224458349497,252.3834806715013,252.4500562325524,255.46318936047504,257.28631159757606,257.71151218586925,257.7701667708698,1.0191572758477367,0.9756916392508459,97.5691639250846,0.5427864583331955,0.7139999999999478,0.024565070059744707,0.8325000000003276,0.0017098338303611954,0.23365774182124716,0.23121876985649578,0.31710002723161523,0.18497501588519663,3648.070633196926,3058.7951213386773,3327.040417475598,127.64440768884741,1664,0.08125,0.07204070254004741,54.99980314804533,707.0249999998055,72464.0000000279,0.5598705501618123,2.2720588235294117,0.0,0.0,0.0,31.473517121153698,68.52648287884632,0.0,110.77639999999872,110.11409650390533,1.0,0.9632778197285811,184.83865169642866,252.3834806715012,26.76277734000663,0,0,16.0,8.32
23,compute_top,memory_bottom,active_base_3p5d,hybrid_3d_tsv,periphery_2p5d_microbump,1.0,1.0,6000.0,4200.0,0.08,0.9,5,2.2,8.0,0.72,0.12,2.0,180.0,80,8192,64,4,128,4096,128,0.65,1.0,0.5,0.35,0.9,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,2200.0,0.72,1.5,420.0,120.0,45.0,55.0,35.0,23,64,1.0,0.08,0.08,1,64.0,1,1,35.0,1.0,180.0,88.0,0.25,125.0,0.03,3.967168733687124,252.0689355883763,252.012402908743,254.73391262057396,257.2426393641489,258.60202957857007,258.9471144796639,1.0207538851065985,0.973088622229204,97.3088622229204,0.5427864583331955,0.7139999999999478,0.027196416548960163,0.8325000000003276,0.0017119674523525192,0.23394931243328,0.23150729698902328,0.31749572158479566,0.18520583759121864,3624.839463619004,3029.930093026396,3305.8535908205254,127.48524796915703,1685,0.082275390625,0.07208946935169908,55.03118235387069,707.0249999998055,72464.0000000279,0.5598705501618123,2.2720588235294117,0.0,0.0,0.0,31.473516862228752,68.52648313777124,0.0,110.77639999999872,110.11409650390533,1.0,1.065099601622142,184.83865169642866,252.0689355883772,26.67138802130464,0,0,16.0,8.32
37,compute_top,memory_bottom,active_base_3p5d,hybrid_3d_tsv,periphery_2p5d_microbump,1.0,1.0,6000.0,4200.0,0.08,0.9,5,2.2,8.0,0.72,0.12,2.0,180.0,80,8192,64,4,128,4096,128,0.65,1.0,0.5,0.35,0.9,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,2200.0,0.72,1.5,420.0,120.0,45.0,55.0,35.0,37,64,1.0,0.08,0.08,1,64.0,1,1,35.0,1.0,180.0,88.0,0.25,125.0,0.03,3.9609666931167973,252.46362251360466,252.5581266968783,255.08282532468587,257.3001326126461,257.7782707552193,257.80391084763164,1.0187758991476017,0.974910422139257,97.49104221392571,0.5427864583331955,0.7139999999999478,0.025353416670078406,0.8325000000003276,0.0017092910621338702,0.23358356970225103,0.23114537196272925,0.3169993672630212,0.1849162975701834,3653.6691874673925,3064.2477433454656,3332.146298970254,127.68495943741745,1614,0.07880859375,0.07202828795963367,54.991820648806964,707.0249999998055,72464.0000000279,0.5598705501618123,2.2720588235294117,0.0,0.0,0.0,31.47351718702313,68.52648281297687,0.0,110.77639999999872,110.11409650390533,1.0,0.9945511542004077,184.83865169642866,252.4636225136055,26.786025702983192,0,0,16.0,8.32
11,compute_top,memory_bottom,active_base_3p5d,hybrid_3d_tsv,periphery_2p5d_microbump,1.0,1.0,6000.0,5000.0,0.08,0.9,5,2.2,8.0,0.72,0.12,2.0,180.0,80,8192,64,4,128,4096,128,0.65,1.0,0.5,0.35,0.9,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,2200.0,0.72,1.5,420.0,120.0,45.0,55.0,35.0,11,64,1.0,0.08,0.08,1,64.0,1,1,35.0,1.0,180.0,88.0,0.25,125.0,0.03,4.2311522264732195,236.34224118509846,236.40458322991134,239.2261122942948,240.93330283700107,241.3314650711701,241.38638983197973,1.019156648933009,0.9740417596764461,97.40417596764462,0.5427864583331955,0.7139999999999478,0.02623674860785271,0.8325000000003276,0.001825885255689334,0.24951677648052845,0.24691226435168706,0.28444292853300857,0.19752981148134965,3648.070633196926,2569.3879019244987,3327.040417475598,127.64440768884741,1664,0.08125,0.07719631619168428,54.810286749525055,707.0249999998055,72464.0000000279,0.5598705501618123,2.2720588235294117,0.0,0.0,0.0,33.615322866853674,66.38467713314633,0.0,110.77639999999872,110.11409650390533,1.0,0.9632778197285811,172.05822312500007,236.34224118509994,27.199546614163452,0,0,16.0,8.32
