seed,layer1_role,layer2_role,hbm_ring_coverage,hbf_outer_ring_coverage,model_size_gb,num_layers,hidden_dim,num_experts,top_k,batch_size,context_len,kv_chunk_size_kb,shared_kv_ratio,weight_hbf_fraction,moe_layer_ratio,routing_diversity,prefetch_accuracy,hbm_capacity_gb,hbf_capacity_gb,sram_capacity_mb,hbm_bw_gbs,hbf_bw_gbs,bridge_bw_gbs,hbf_latency_us,compute_tops_int8,matrix_efficiency,freq_ghz,p_compute_w,p_hbm_w,p_hbf_w,p_sram_w,p_bridge_w,random_seed,multi_tenant_users,traffic_burst_factor,burst_probability,tail_jitter_sigma,lhb_enable,lhb_size_mb,prefetch_depth,thermal_model_enable,ambient_temp_c,thermal_hotspot_gain,thermal_rc_tau_layers,thermal_throttle_start_c,thermal_throttle_max,thermal_shutdown_c,process_slowdown_sigma,tokens_per_sec,latency_ms_per_token,latency_p50_ms,latency_p90_ms,latency_p99_ms,latency_p999_ms,latency_max_ms,tail_ratio_p99_p50,stall_cycles_ratio,mem_bottleneck_pct,sram_hit_ratio,lhb_hit_ratio,overlap_efficiency,prefetch_coverage_ratio,hbm_util,hbf_util,bridge_util,bridge_contention_ms_total,hbf_miss_penalty_ms_total,burst_event_count,burst_event_ratio,throughput_per_watt,power_w,total_hbm_gb_transferred,total_hbf_gb_transferred,shared_kv_reuse_ratio,batch_gain,bottleneck_compute_pct,bottleneck_hbm_pct,bottleneck_hbf_pct,bottleneck_bridge_pct,bottleneck_router_pct,thermal_peak_c,thermal_avg_c,throttling_ratio,process_factor,model_predicted_token_ms,model_measured_token_ms,model_error_pct,oom_hbm,oom_hbf,runtime_kv_gb,shared_kv_gb
11,compute_top,memory_bottom,1.0,1.0,180.0,80,8192,64,4,128,4096,128,0.65,1.0,0.5,0.35,0.9,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,2200.0,0.72,1.5,420.0,120.0,45.0,55.0,35.0,11,32,1.0,0.08,0.08,1,64.0,1,1,35.0,1.0,180.0,88.0,0.25,125.0,0.03,14.991700039671422,66.7035758021955,66.68998348575316,67.179424413158,67.49900077668721,67.61818255607064,67.63268374858166,1.0121310165132502,0.9188829882747466,91.88829882747466,0.5427864583331955,0.75,0.08174287874421914,0.8325000000003276,0.006469425488614362,0.8840808526002345,0.874852618186692,502.78131211189435,97.53258693032622,1664,0.08125,0.1319388836826923,113.62609430382824,707.0249999998055,72464.0000000279,0.5598705501618123,2.2720588235294117,0.0,0.0,56.900167344160046,43.099832655839954,0.0,96.10999999999872,95.57588427734284,0.405499999999936,0.9632778197285811,58.36414062500002,66.70357580219576,12.502231067680214,0,0,16.0,8.32
23,compute_top,memory_bottom,1.0,1.0,180.0,80,8192,64,4,128,4096,128,0.65,1.0,0.5,0.35,0.9,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,2200.0,0.72,1.5,420.0,120.0,45.0,55.0,35.0,23,32,1.0,0.08,0.08,1,64.0,1,1,35.0,1.0,180.0,88.0,0.25,125.0,0.03,14.99867246303883,66.67256735316383,66.6557515117234,67.05425074891534,67.47959660134293,67.66625860855984,67.6792687889513,1.0123596999648956,0.9102669267108673,91.02669267108674,0.5427864583331955,0.75,0.09041439987076018,0.8325000000003276,0.006472434325059271,0.884492025848034,0.8752594995158235,495.76068845998395,97.41097361817624,1685,0.082275390625,0.1319550001701634,113.66505584250083,707.0249999998055,72464.0000000279,0.5598705501618123,2.2720588235294117,0.0,0.0,57.29663331666034,42.70336668333967,0.0,96.10999999999872,95.57588427734284,0.405499999999936,1.065099601622142,58.36414062500002,66.67256735316367,12.461537117888428,0,0,16.0,8.32
37,compute_top,memory_bottom,1.0,1.0,180.0,80,8192,64,4,128,4096,128,0.65,1.0,0.5,0.35,0.9,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,2200.0,0.72,1.5,420.0,120.0,45.0,55.0,35.0,37,32,1.0,0.08,0.08,1,64.0,1,1,35.0,1.0,180.0,88.0,0.25,125.0,0.03,14.988741141271763,66.71674362608627,66.71507363804116,67.13666029293375,67.50750465467979,67.58882730747123,67.58902711871265,1.0118778406951616,0.9162660104605784,91.62660104605784,0.5427864583331955,0.75,0.08438242255337271,0.8325000000003276,0.006468148623904268,0.8839063623547648,0.8746799493095773,505.62445372928033,97.56357236097817,1614,0.07880859375,0.13193204096237535,113.60956013366217,707.0249999998055,72464.0000000279,0.5598705501618123,2.2720588235294117,0.0,0.0,56.7419463080331,43.258053691966886,0.0,96.10999999999872,95.57588427734284,0.405499999999936,0.9945511542004077,58.36414062500002,66.71674362608665,12.519500423909653,0,0,16.0,8.32
11,compute_top,memory_bottom,1.0,1.0,180.0,80,8192,64,4,128,4096,128,0.65,1.0,0.5,0.35,0.9,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,2200.0,0.72,1.5,420.0,120.0,45.0,55.0,35.0,11,64,1.0,0.08,0.08,1,64.0,1,1,35.0,1.0,180.0,88.0,0.25,125.0,0.03,12.520530861533283,79.86881794862957,79.88989476430018,80.83134072331426,81.42122512357699,81.55179183137479,81.57367783179929,1.0191680107201881,0.923186183884232,92.3186183884232,0.5427864583331955,0.7139999999999478,0.07803163384281656,0.8325000000003276,0.005403032429426961,0.7383526597904436,0.7306455689690912,3648.070633196926,127.64440768884741,1664,0.08125,0.12543444017377284,99.81732962803311,707.0249999998055,72464.0000000279,0.5598705501618123,2.2720588235294117,0.0,0.0,0.5657516505996897,99.4342483494003,0.0,110.77639999999872,110.11409650390533,1.0,0.9632778197285811,58.36414062500002,79.86881794862981,26.9249976097821,0,0,16.0,8.32
23,compute_top,memory_bottom,1.0,1.0,180.0,80,8192,64,4,128,4096,128,0.65,1.0,0.5,0.35,0.9,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,2200.0,0.72,1.5,420.0,120.0,45.0,55.0,35.0,23,64,1.0,0.08,0.08,1,64.0,1,1,35.0,1.0,180.0,88.0,0.25,125.0,0.03,12.53611546975443,79.76952688515631,79.74474658973332,80.61050700369918,81.39381011613054,81.85145729940474,81.95297187676306,1.0206792747725595,0.9149609805299741,91.49609805299741,0.5427864583331955,0.7139999999999478,0.0863899580911512,0.8325000000003276,0.0054097577148441685,0.739271705241402,0.7315550212173088,3624.839463619004,127.48524796915703,1685,0.082275390625,0.12548109504035546,99.90441560716968,707.0249999998055,72464.0000000279,0.5598705501618123,2.2720588235294117,0.0,0.0,0.6104310358635948,99.38956896413642,0.0,110.77639999999872,110.11409650390533,1.0,1.065099601622142,58.36414062500002,79.76952688515699,26.83403938320205,0,0,16.0,8.32
37,compute_top,memory_bottom,1.0,1.0,180.0,80,8192,64,4,128,4096,128,0.65,1.0,0.5,0.35,0.9,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,2200.0,0.72,1.5,420.0,120.0,45.0,55.0,35.0,37,64,1.0,0.08,0.08,1,64.0,1,1,35.0,1.0,180.0,88.0,0.25,125.0,0.03,12.516824650954275,79.89246697034784,79.91621052829777,80.71111080518347,81.41210867107452,81.567600169676,81.57122337858122,1.0187183317738404,0.9207158577740151,92.07158577740151,0.5427864583331955,0.7139999999999478,0.08053872885787397,0.8325000000003276,0.005401433074242255,0.7381340995337726,0.7304292900934454,3653.6691874673925,127.68495943741745,1614,0.07880859375,0.12542333309102238,99.79661951632676,707.0249999998055,72464.0000000279,0.5598705501618123,2.2720588235294117,0.0,0.0,0.5178888165391581,99.48211118346084,0.0,110.77639999999872,110.11409650390533,1.0,0.9945511542004077,58.36414062500002,79.89246697034795,26.9466285893239,0,0,16.0,8.32
11,compute_top,memory_bottom,1.0,1.0,180.0,80,8192,64,4,128,4096,128,0.65,1.0,0.5,0.35,0.9,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,2200.0,0.72,1.5,420.0,120.0,45.0,55.0,35.0,11,128,1.0,0.08,0.08,1,64.0,1,1,35.0,1.0,180.0,88.0,0.25,125.0,0.03,9.024148321023597,110.8137814701356,110.84299516786157,112.16517344193923,112.96516883230055,113.15174903174695,113.1774869645466,1.0191457625375888,0.9435298199675911,94.35298199675911,0.5427864583331955,0.6419999999998587,0.057393484886692124,0.8325000000003276,0.00389422513834836,0.5321662466918178,0.5266113759387603,10841.110308303456,200.00266354141178,1664,0.08125,0.11240880808129602,80.27972607357579,707.0249999998055,72464.0000000279,0.5598705501618123,2.2720588235294117,0.0,0.0,0.0,100.0,0.0,125.0,124.47024572836888,1.0,0.9632778197285811,58.36414062500002,110.8137814701358,47.33133383709219,0,0,16.0,8.32
23,compute_top,memory_bottom,1.0,1.0,180.0,80,8192,64,4,128,4096,128,0.65,1.0,0.5,0.35,0.9,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,2200.0,0.72,1.5,420.0,120.0,45.0,55.0,35.0,23,128,1.0,0.08,0.08,1,64.0,1,1,35.0,1.0,180.0,88.0,0.25,125.0,0.03,9.035402357509724,110.67575747402722,110.65095064418733,111.84516306723927,112.94600523223163,113.54251263206918,113.69393765697443,1.0207413906042646,0.9374828593612609,93.74828593612608,0.5427864583331955,0.6419999999998587,0.06354141357738693,0.8325000000003276,0.003899081635630222,0.5328299124632461,0.527268114217875,10808.965002315896,199.7532803647993,1685,0.082275390625,0.11246089734013294,80.34261304338125,707.0249999998055,72464.0000000279,0.5598705501618123,2.2720588235294117,0.0,0.0,0.0,100.0,0.0,125.0,124.47024572836888,1.0,1.065099601622142,58.36414062500002,110.67575747402674,47.26565062028435,0,0,16.0,8.32
37,compute_top,memory_bottom,1.0,1.0,180.0,80,8192,64,4,128,4096,128,0.65,1.0,0.5,0.35,0.9,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,2200.0,0.72,1.5,420.0,120.0,45.0,55.0,35.0,37,128,1.0,0.08,0.08,1,64.0,1,1,35.0,1.0,180.0,88.0,0.25,125.0,0.03,9.021285424406223,110.84894812158319,110.89041704201539,111.9982677517457,112.9712335646158,113.18104303445298,113.19229403853865,1.0187646198662235,0.9417149817825488,94.17149817825488,0.5427864583331955,0.6419999999998587,0.05923547463606771,0.8325000000003276,0.003892989701653476,0.5319974178014519,0.5264443093222538,10849.300498438553,200.06620300915876,1614,0.07880859375,0.11239554415354176,80.26372835636961,707.0249999998055,72464.0000000279,0.5598705501618123,2.2720588235294117,0.0,0.0,0.0,100.0,0.0,125.0,124.47024572836888,1.0,0.9945511542004077,58.36414062500002,110.8489481215834,47.34804288716933,0,0,16.0,8.32
11,compute_top,memory_bottom,1.0,1.0,180.0,80,8192,64,4,128,4096,128,0.65,1.0,0.5,0.35,0.9,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,2200.0,0.72,1.5,420.0,120.0,45.0,55.0,35.0,11,256,1.0,0.08,0.08,1,64.0,1,1,35.0,1.0,180.0,88.0,0.25,125.0,0.03,5.783181345907797,172.91520707847144,172.9608102449811,175.02475697829922,176.27356578493118,176.56482120842375,176.6049986363589,1.0191532147384017,0.9638031309001304,96.38031309001303,0.5427864583331955,0.4979999999997725,0.03684240458029745,0.8325000000003276,0.0024956383002254245,0.34104203535972005,0.33748216203148923,25230.056119914716,393.2576325886368,1664,0.08125,0.09302299855918775,62.16937139720488,707.0249999998055,72464.0000000279,0.5598705501618123,2.2720588235294117,0.0,0.0,0.0,100.0,0.0,125.0,124.537051837134,1.0,0.9632778197285811,58.36414062500002,172.91520707847076,66.2469590667559,0,0,16.0,8.32
